ca,datosECVmas16.prov,nomprov,gen,edad,nac,neduc,sitlab,ingnorm,horas,factorel
2,22,"Huesca",2,4,1,1,3,788.4,0,783.2
2,22,"Huesca",1,4,1,1,3,4067.6,0,783.2
2,22,"Huesca",1,2,1,2,1,8329.1,38.84,86.3
2,22,"Huesca",2,2,1,2,1,12327,30.21,86.3
2,22,"Huesca",1,2,1,2,1,12691.8,35.79,530.4
2,22,"Huesca",1,4,1,1,3,9205.6,0,415.4
2,22,"Huesca",2,3,1,1,3,15428.3,0,415.4
2,22,"Huesca",1,3,1,3,1,15683.4,40.82,458.8
2,22,"Huesca",2,3,1,2,1,5657,34.66,458.8
2,22,"Huesca",1,2,1,2,1,10106.1,34.03,458.8
2,22,"Huesca",1,3,1,2,1,14079.9,35.1,2313.3
2,22,"Huesca",2,1,1,2,1,9726.4,28.82,2313.3
2,22,"Huesca",1,4,1,1,3,4216,0,680.2
2,22,"Huesca",2,4,1,3,3,24933.2,0,680.2
2,22,"Huesca",2,4,1,1,3,6146.7,0,534.8
2,22,"Huesca",2,3,1,2,1,18675.5,37.63,534.8
2,22,"Huesca",2,4,1,1,3,6675.4,0,534.8
2,22,"Huesca",1,2,1,2,3,8870.9,0,1462.1
2,22,"Huesca",2,2,1,2,1,12076,38.02,1462.1
2,22,"Huesca",1,4,1,1,3,10529.4,0,635.4
2,22,"Huesca",1,2,1,2,1,20154.3,34.57,567.7
2,22,"Huesca",1,4,1,1,3,9108.3,0,584.3
2,22,"Huesca",2,4,1,1,3,11649.2,0,584.3
2,22,"Huesca",1,2,1,2,1,3927.3,31.97,2365.2
2,22,"Huesca",2,2,1,2,1,7499.5,28.8,2365.2
2,22,"Huesca",1,2,1,2,1,3770.1,30.95,806.3
2,22,"Huesca",1,2,1,2,1,12033.3,32.79,806.3
2,22,"Huesca",1,2,1,3,1,8909.9,27.95,813
2,22,"Huesca",2,2,1,3,1,28670.1,34.55,813
2,22,"Huesca",1,3,1,2,1,9872.2,36.7,75.7
2,22,"Huesca",2,3,1,2,3,5390.1,0,75.7
2,22,"Huesca",2,2,1,2,1,6052.6,37.12,75.7
2,22,"Huesca",1,2,1,2,1,17927.2,30.51,75.7
2,22,"Huesca",1,2,1,3,1,8191.7,31.12,497.5
2,22,"Huesca",2,2,1,2,1,5969.4,33.98,497.5
2,22,"Huesca",1,2,1,2,1,11533.4,41.76,855.4
2,22,"Huesca",2,2,1,2,3,10644.1,0,855.4
2,22,"Huesca",1,1,1,2,1,14738.7,36.48,855.4
2,22,"Huesca",1,3,1,2,3,10511.5,0,1393.5
2,22,"Huesca",1,4,1,1,3,14752.9,0,1393.5
2,22,"Huesca",2,4,1,1,3,4835.9,0,1393.5
2,22,"Huesca",1,2,1,2,1,5497.8,30.25,695.4
2,22,"Huesca",2,2,1,3,1,14484.5,31.68,695.4
2,22,"Huesca",1,4,1,1,3,8011.6,0,773.3
2,22,"Huesca",2,3,1,2,3,6768.9,0,773.3
2,22,"Huesca",1,2,1,2,1,7964.5,35.46,773.3
2,22,"Huesca",1,3,1,2,1,14994.8,24.77,250.2
2,22,"Huesca",2,3,1,2,3,9105.9,0,250.2
2,22,"Huesca",1,3,1,2,1,8825.5,37.39,250.2
2,22,"Huesca",1,2,1,2,1,11597.5,35.08,250.2
2,22,"Huesca",1,4,1,3,3,24581.2,0,220.1
2,22,"Huesca",1,2,1,2,1,12894.6,35.84,947
2,22,"Huesca",2,2,1,2,3,16168.9,0,1326
2,22,"Huesca",1,4,1,1,3,8025.2,0,941.1
2,22,"Huesca",2,3,1,2,3,2112.2,0,941.1
2,22,"Huesca",1,2,1,2,1,19902.6,32.07,941.1
2,22,"Huesca",1,2,1,1,1,4742.6,38.7,567.2
2,22,"Huesca",1,2,1,1,2,-111.8,0,567.2
2,22,"Huesca",1,1,1,1,1,2778.8,39.93,567.2
2,22,"Huesca",2,3,1,2,3,14064.6,0,920.1
2,22,"Huesca",1,2,1,3,1,21231.2,36.98,920.1
2,22,"Huesca",1,2,1,3,1,35388.4,31.72,920.1
2,22,"Huesca",2,2,1,3,1,17937,34.98,920.1
2,22,"Huesca",1,4,1,1,3,10100.4,0,1395.8
2,22,"Huesca",2,4,1,1,3,9747.7,0,1395.8
2,22,"Huesca",1,2,1,2,1,11009.5,33.79,1395.8
2,22,"Huesca",2,2,1,3,1,19639.6,35.69,1395.8
2,22,"Huesca",1,2,1,1,1,6979,32.55,54.4
2,22,"Huesca",2,2,1,2,3,2001.3,0,54.4
2,22,"Huesca",1,1,1,1,3,6465.5,0,54.4
2,22,"Huesca",1,2,1,2,1,9509.7,42.78,2248.4
2,22,"Huesca",2,2,1,2,1,5194.8,36.11,2248.4
2,22,"Huesca",1,3,1,1,3,6042.4,0,479.7
2,22,"Huesca",2,3,1,1,1,5104.9,31.36,479.7
2,22,"Huesca",2,2,1,2,1,40955,36.02,479.7
2,22,"Huesca",1,2,1,2,1,8189.7,37.03,479.7
2,22,"Huesca",1,2,1,1,1,5728.8,32.9,84.1
2,22,"Huesca",2,2,1,1,1,12799,34.71,84.1
2,22,"Huesca",1,1,1,1,1,5523.5,31.96,1064.4
2,22,"Huesca",2,2,1,1,3,5108.8,0,1064.4
2,22,"Huesca",1,1,1,1,2,4002.7,0,1064.4
2,22,"Huesca",1,3,2,2,1,10244.2,36.4,238.2
2,22,"Huesca",2,2,1,2,3,16950,0,238.2
2,22,"Huesca",1,2,1,3,3,22296.8,0,238.2
2,22,"Huesca",1,1,1,2,1,15257.4,33.38,238.2
2,44,"Teruel",1,2,1,2,1,21430.2,33.32,932
2,44,"Teruel",2,2,1,2,1,7477.1,30.81,932
2,44,"Teruel",2,1,1,1,3,10476.4,0,932
2,44,"Teruel",1,3,1,1,3,4606.8,0,494.4
2,44,"Teruel",1,3,1,1,3,9032.9,0,296.2
2,44,"Teruel",2,3,1,1,3,10608.2,0,296.2
2,44,"Teruel",2,4,1,1,3,14002.5,0,547.6
2,44,"Teruel",1,4,1,1,3,7357.4,0,547.6
2,44,"Teruel",1,3,1,2,1,9290.7,36.43,608.3
2,44,"Teruel",2,3,1,1,1,11890.4,36.68,608.3
2,44,"Teruel",1,2,1,3,1,5343.1,34.53,114.5
2,44,"Teruel",2,2,2,3,1,3409.5,33.89,114.5
2,44,"Teruel",2,4,1,1,3,9461.4,0,1643.1
2,44,"Teruel",2,3,1,1,1,11409.8,36.99,830.5
2,44,"Teruel",1,3,1,2,1,18867.8,38.66,263.3
2,44,"Teruel",2,2,1,1,1,27641.1,31.93,263.3
2,44,"Teruel",1,2,1,1,3,993.2,0,1311.6
2,44,"Teruel",2,2,1,2,1,16482.6,31.88,1311.6
2,44,"Teruel",1,4,1,1,3,3934.9,0,1499.7
2,44,"Teruel",2,3,1,2,1,13367.5,33.86,1499.7
2,44,"Teruel",1,4,1,1,3,18696.9,0,1009.1
2,44,"Teruel",2,4,1,1,3,3823.6,0,1009.1
2,44,"Teruel",1,2,1,2,1,12549.7,34.46,771
2,44,"Teruel",2,2,1,2,3,7879.8,0,771
2,44,"Teruel",2,1,1,2,3,11924.3,0,771
2,44,"Teruel",1,1,1,2,1,12375.6,33.77,771
2,44,"Teruel",1,3,1,1,3,7175.7,0,478.8
2,44,"Teruel",2,3,1,3,1,20968.6,32.59,478.8
2,44,"Teruel",1,2,1,2,1,7461.2,27.42,729.3
2,44,"Teruel",2,2,1,2,3,4544.9,0,729.3
2,44,"Teruel",2,4,1,1,3,1085.5,0,3045.2
2,44,"Teruel",1,2,1,2,1,2630.3,29.8,117.6
2,44,"Teruel",2,2,1,3,1,31916.1,36.97,117.6
2,44,"Teruel",1,1,1,2,3,5511.3,0,117.6
2,44,"Teruel",1,2,1,2,1,10907,36.29,557.4
2,44,"Teruel",2,2,1,2,1,6129.5,28.07,557.4
2,44,"Teruel",1,1,1,2,3,13146.7,0,557.4
2,44,"Teruel",2,4,1,1,3,7970.3,0,932.6
2,44,"Teruel",1,3,1,2,3,6728.9,0,207.1
2,44,"Teruel",2,3,1,2,3,6170.2,0,207.1
2,44,"Teruel",1,2,1,2,1,10646.1,34.26,207.1
2,44,"Teruel",2,1,1,2,3,13918.1,0,207.1
2,44,"Teruel",2,4,1,1,3,2887.8,0,207.1
2,44,"Teruel",1,2,1,2,1,11664.1,32.16,406.7
2,44,"Teruel",2,2,1,2,2,10882.1,0,406.7
2,44,"Teruel",2,4,1,1,3,11211.4,0,777.4
2,44,"Teruel",1,4,1,1,3,5650.8,0,777.4
2,44,"Teruel",1,3,1,1,1,5377.9,29.69,1040.8
2,44,"Teruel",2,4,1,1,3,2328.7,0,1040.8
2,44,"Teruel",2,2,1,2,3,16525.9,0,1040.8
2,44,"Teruel",1,2,1,2,1,15525.6,35.84,1040.8
2,44,"Teruel",1,3,1,2,1,18069.3,36.05,1400.9
2,44,"Teruel",2,3,1,3,1,46134,38.93,1400.9
2,44,"Teruel",2,4,1,1,3,12396.1,0,547.6
2,44,"Teruel",1,4,1,1,3,3204.5,0,547.6
2,44,"Teruel",1,2,1,2,1,15488.4,32.3,591.8
2,44,"Teruel",2,2,1,2,1,5436.3,32.08,591.8
2,44,"Teruel",2,1,1,2,1,10380.1,33.94,591.8
2,44,"Teruel",2,4,1,1,3,9208.4,0,1023.8
2,44,"Teruel",1,4,1,1,3,19462.2,0,1023.8
2,44,"Teruel",2,2,1,2,1,11954.7,34.05,1016
2,44,"Teruel",1,3,1,1,3,12794.7,0,1016
2,44,"Teruel",2,3,1,1,1,7643.3,37.7,1016
2,44,"Teruel",2,3,1,1,3,6941.9,0,2350.9
2,44,"Teruel",2,4,1,1,3,15549.9,0,731.4
2,44,"Teruel",1,4,1,1,3,-999.5,0,731.4
2,44,"Teruel",1,4,1,2,3,5215,0,574.1
2,44,"Teruel",2,3,1,1,3,4136.1,0,574.1
2,44,"Teruel",2,2,1,2,1,15590.4,36.24,574.1
2,44,"Teruel",1,3,1,1,2,3090,0,160.1
2,44,"Teruel",2,2,1,2,1,7348,32.96,160.1
2,44,"Teruel",2,2,1,2,1,8481.1,34.82,2789.1
2,44,"Teruel",1,2,1,2,1,4354.9,34.12,2789.1
2,44,"Teruel",1,4,1,1,3,3869.6,0,966.7
2,44,"Teruel",2,3,1,1,3,5325.5,0,966.7
2,44,"Teruel",2,2,1,2,1,16404.6,31.94,966.7
2,44,"Teruel",1,3,1,1,1,4461.1,29.57,877
2,44,"Teruel",2,2,1,1,1,7553,34.21,877
2,44,"Teruel",2,1,1,2,3,4167.9,0,877
2,44,"Teruel",1,1,1,1,3,3971.6,0,877
2,44,"Teruel",1,2,1,2,1,8084.9,38.1,1210
2,44,"Teruel",2,1,1,2,1,7654.9,38.14,1210
2,44,"Teruel",2,2,1,2,1,1821.3,35.67,1521.1
2,44,"Teruel",1,2,1,2,1,8588,35.32,1521.1
2,44,"Teruel",2,4,1,1,3,14289.7,0,218.8
2,44,"Teruel",1,3,1,1,3,6903.9,0,525.4
2,44,"Teruel",2,4,1,1,3,12014.3,0,475.8
2,44,"Teruel",1,2,1,2,1,4365.5,29.52,475.8
2,44,"Teruel",2,2,1,2,3,3846.3,0,475.8
2,44,"Teruel",1,4,1,1,3,13633.1,0,475.8
2,44,"Teruel",1,4,1,1,3,37022.4,0,1448.2
2,44,"Teruel",2,4,1,1,3,8843,0,1448.2
2,44,"Teruel",2,4,1,1,3,13081.8,0,1351.5
2,44,"Teruel",1,4,1,1,3,6844.4,0,657.6
2,44,"Teruel",2,3,1,1,3,17887.7,0,657.6
2,44,"Teruel",2,2,1,2,3,14685.5,0,657.6
2,44,"Teruel",1,2,1,2,1,10900.9,30.61,657.6
2,44,"Teruel",1,4,1,1,3,9171.8,0,657.6
2,44,"Teruel",1,3,1,2,1,9240.4,37.13,3128.8
2,44,"Teruel",2,3,1,2,1,33585.6,34.02,3128.8
2,44,"Teruel",1,2,1,2,1,15340.6,35.66,3128.8
2,44,"Teruel",1,1,1,3,1,19284.2,31.33,3128.8
2,44,"Teruel",1,4,1,1,3,17468,0,202.2
2,44,"Teruel",2,3,1,1,1,6459.8,34.72,202.2
2,44,"Teruel",1,2,1,2,1,16898.2,41.44,918.6
2,44,"Teruel",2,2,1,2,1,9358.9,34,918.6
2,44,"Teruel",1,1,1,2,3,6305.8,0,918.6
2,44,"Teruel",1,3,1,1,1,25701.6,28.39,174.6
2,44,"Teruel",1,3,1,2,3,8413.2,0,257.4
2,44,"Teruel",2,2,1,2,1,27892.1,34.94,257.4
2,44,"Teruel",1,1,1,2,1,11427.2,36.88,257.4
2,44,"Teruel",1,3,1,1,1,6582.9,34.72,185.4
2,44,"Teruel",2,3,1,1,1,10432.2,37.93,185.4
2,44,"Teruel",2,4,1,1,3,6055.4,0,1110.6
2,44,"Teruel",2,4,1,1,3,3237.3,0,1110.6
2,44,"Teruel",1,3,1,1,1,25136.9,34.63,926.5
2,44,"Teruel",2,3,1,1,3,5873.5,0,926.5
2,44,"Teruel",1,2,1,2,1,6130.1,33.93,926.5
2,50,"Zaragoza",1,2,1,2,1,17910.4,30.85,1126.9
2,50,"Zaragoza",2,2,1,2,1,11493.8,31.49,1126.9
2,50,"Zaragoza",2,4,1,1,3,4779.1,0,500.6
2,50,"Zaragoza",1,4,1,1,3,3106.7,0,500.6
2,50,"Zaragoza",1,3,1,1,3,8687.4,0,1419.2
2,50,"Zaragoza",2,3,1,1,1,18268.9,32.73,1419.2
2,50,"Zaragoza",1,2,1,2,1,10677,34.68,720
2,50,"Zaragoza",2,2,1,2,1,7835.4,28.04,720
2,50,"Zaragoza",1,2,1,1,1,25028.6,32.04,576.3
2,50,"Zaragoza",2,2,1,1,3,8393.4,0,576.3
2,50,"Zaragoza",2,1,1,1,3,9818,0,576.3
2,50,"Zaragoza",2,2,1,2,1,11630.2,30.64,832.9
2,50,"Zaragoza",1,2,1,2,1,20438,30.33,832.9
2,50,"Zaragoza",1,2,1,2,1,27164.7,32.75,732.5
2,50,"Zaragoza",2,2,1,2,3,17234.9,0,732.5
2,50,"Zaragoza",1,1,1,2,1,15917.6,33.6,732.5
2,50,"Zaragoza",1,1,1,2,3,7197.5,0,732.5
2,50,"Zaragoza",1,3,1,1,3,12681.3,0,272.6
2,50,"Zaragoza",2,3,1,1,3,5913.6,0,272.6
2,50,"Zaragoza",1,2,1,2,1,38706.5,30.08,272.6
2,50,"Zaragoza",2,2,1,2,1,13589.2,36.88,272.6
2,50,"Zaragoza",1,2,1,2,1,16621.3,35.1,272.6
2,50,"Zaragoza",2,1,1,2,1,16777.3,33.85,272.6
2,50,"Zaragoza",1,2,1,2,1,11247.8,34.6,568
2,50,"Zaragoza",2,3,1,2,3,11132.2,0,1136.4
2,50,"Zaragoza",1,3,1,2,2,10382.6,0,1136.4
2,50,"Zaragoza",1,1,1,2,3,9005.3,0,1136.4
2,50,"Zaragoza",1,2,1,2,1,26247.5,34.84,229.4
2,50,"Zaragoza",2,2,1,3,3,17579.2,0,229.4
2,50,"Zaragoza",2,1,1,2,3,7478.8,0,229.4
2,50,"Zaragoza",2,4,2,1,3,3334.9,0,771.8
2,50,"Zaragoza",2,3,2,1,3,12760.5,0,771.8
2,50,"Zaragoza",1,2,2,2,1,23825.5,33.72,1101.7
2,50,"Zaragoza",1,1,1,2,3,16007.2,0,1101.7
2,50,"Zaragoza",1,4,1,1,3,20273.7,0,502.8
2,50,"Zaragoza",2,4,1,1,3,9447.4,0,502.8
2,50,"Zaragoza",2,1,1,2,2,14177.8,0,1137.3
2,50,"Zaragoza",1,2,1,2,1,9794.7,35.27,1137.3
2,50,"Zaragoza",2,2,1,2,3,12050.7,0,1694.8
2,50,"Zaragoza",1,2,1,2,1,11805.5,35.98,1694.8
2,50,"Zaragoza",2,2,1,2,1,16432.3,36.87,230.5
2,50,"Zaragoza",1,2,1,1,1,4430.6,35.4,230.5
2,50,"Zaragoza",1,1,1,2,1,18417.1,37.06,230.5
2,50,"Zaragoza",2,1,1,2,1,19271.6,35.18,230.5
2,50,"Zaragoza",1,1,1,2,1,25620.4,34.08,230.5
2,50,"Zaragoza",1,3,1,2,1,36310.1,35.02,468.6
2,50,"Zaragoza",2,3,1,1,3,12450.7,0,468.6
2,50,"Zaragoza",1,2,1,2,1,8281.7,36.76,665
2,50,"Zaragoza",2,2,1,2,3,12604.3,0,665
2,50,"Zaragoza",1,2,1,2,1,27231,33.06,665
2,50,"Zaragoza",2,2,1,2,1,32415.5,36.11,2453.6
2,50,"Zaragoza",1,2,1,2,1,22514,31.97,2453.6
2,50,"Zaragoza",2,4,1,1,3,4634,0,1313.5
2,50,"Zaragoza",1,2,1,2,1,23182.7,34.4,394.2
2,50,"Zaragoza",1,2,1,2,3,6729.9,0,394.2
2,50,"Zaragoza",2,3,1,2,3,8853.1,0,327.6
2,50,"Zaragoza",1,3,1,2,3,16525.3,0,327.6
2,50,"Zaragoza",1,2,1,2,1,9730.2,36.17,683.5
2,50,"Zaragoza",2,2,1,2,1,5255.4,33.58,683.5
2,50,"Zaragoza",2,4,1,1,3,15759.4,0,1643.1
2,50,"Zaragoza",2,2,1,2,1,12192.9,30.15,491.4
2,50,"Zaragoza",1,2,1,2,1,26963.4,35.87,491.4
2,50,"Zaragoza",1,1,1,2,3,7096.4,0,491.4
2,50,"Zaragoza",1,4,1,1,3,15633.9,0,475.8
2,50,"Zaragoza",2,4,1,1,3,9531.9,0,475.8
2,50,"Zaragoza",2,2,1,2,1,15372.6,30.4,281.9
2,50,"Zaragoza",2,1,1,1,1,5797.4,35.01,281.9
2,50,"Zaragoza",1,3,1,1,1,14355.2,30.99,675.6
2,50,"Zaragoza",2,3,1,1,3,5250.8,0,675.6
2,50,"Zaragoza",2,2,1,2,1,22412.2,34.64,675.6
2,50,"Zaragoza",1,2,1,1,1,9334.2,35.5,808.8
2,50,"Zaragoza",2,2,1,2,1,6407.5,33.49,808.8
2,50,"Zaragoza",1,3,1,1,3,7105,0,1608.5
2,50,"Zaragoza",2,3,1,1,3,6329.7,0,1608.5
2,50,"Zaragoza",2,2,1,3,1,11136.4,33.01,1608.5
2,50,"Zaragoza",2,2,1,3,1,18817.1,32.61,1608.5
2,50,"Zaragoza",1,2,1,3,2,8360.4,0,532.9
2,50,"Zaragoza",2,2,1,3,1,10573.4,35.55,532.9
2,50,"Zaragoza",1,2,1,1,1,8935.9,30.08,687.5
2,50,"Zaragoza",2,2,1,1,1,23729.1,35.76,687.5
2,50,"Zaragoza",1,2,1,3,1,6304.8,35.17,2139.2
2,50,"Zaragoza",2,2,1,3,1,19243,33.89,2139.2
2,50,"Zaragoza",1,2,2,3,1,10014.4,31.66,2056.4
2,50,"Zaragoza",2,2,1,2,1,15380.8,32.27,2056.4
2,50,"Zaragoza",1,2,1,2,1,12936.8,33.62,1289.7
2,50,"Zaragoza",2,2,1,2,1,12766.4,32.02,1289.7
2,50,"Zaragoza",2,4,1,1,3,9813.3,0,621
2,50,"Zaragoza",2,3,1,1,3,21921.8,0,964.4
2,50,"Zaragoza",1,3,1,1,3,13271.1,0,964.4
2,50,"Zaragoza",1,3,1,2,1,17382.3,36.9,1193.8
2,50,"Zaragoza",2,3,1,2,3,18178.4,0,1193.8
2,50,"Zaragoza",1,2,1,3,3,10010.7,0,1193.8
2,50,"Zaragoza",2,2,1,3,3,22714.1,0,1193.8
2,50,"Zaragoza",1,4,1,1,3,21645.2,0,488.8
2,50,"Zaragoza",2,4,1,1,3,7846.2,0,488.8
2,50,"Zaragoza",2,2,1,1,3,10463.6,0,488.8
2,50,"Zaragoza",1,2,1,2,1,5790.2,35.52,609.4
2,50,"Zaragoza",2,2,1,2,1,5675.7,32.46,609.4
2,50,"Zaragoza",1,1,1,2,3,9746.5,0,609.4
2,50,"Zaragoza",1,2,1,2,3,7069.9,0,1103.6
2,50,"Zaragoza",2,4,1,1,3,13006.7,0,1103.6
2,50,"Zaragoza",1,2,1,3,1,19120.2,31.32,410.8
2,50,"Zaragoza",2,2,1,2,1,3086.8,38.54,410.8
2,50,"Zaragoza",2,2,1,3,3,12470.9,0,474
2,50,"Zaragoza",1,2,1,3,1,16444.5,35.79,474
2,50,"Zaragoza",1,2,1,2,1,18580.6,36.84,1985.1
2,50,"Zaragoza",2,4,1,1,3,10725.1,0,1985.1
2,50,"Zaragoza",1,2,1,1,1,14239.4,30.73,404.7
2,50,"Zaragoza",2,2,1,1,1,17346,32.86,404.7
2,50,"Zaragoza",2,2,1,2,1,17547.1,38.86,203.2
2,50,"Zaragoza",1,2,1,2,1,10124.8,32.01,203.2
2,50,"Zaragoza",2,1,1,2,3,12959.9,0,203.2
2,50,"Zaragoza",1,2,1,3,1,17082.1,36.9,341.2
2,50,"Zaragoza",2,2,1,3,1,16061.1,32.3,341.2
2,50,"Zaragoza",1,1,1,2,3,8982.7,0,341.2
2,50,"Zaragoza",1,3,1,1,3,15762.4,0,1046.3
2,50,"Zaragoza",2,3,1,1,3,21086.8,0,1046.3
2,50,"Zaragoza",2,1,1,2,1,7201.1,35.63,1046.3
2,50,"Zaragoza",1,3,1,3,1,15056.6,34.74,895.8
2,50,"Zaragoza",2,2,2,1,3,11090.5,0,895.8
2,50,"Zaragoza",2,1,2,2,3,8801.2,0,895.8
2,50,"Zaragoza",2,1,1,2,3,15756.3,0,895.8
2,50,"Zaragoza",1,4,1,1,3,8485.6,0,262.1
